chord_symbol,voice_index,note_name,midi
A/E,0,E3,52
A/E,1,A3,57
A/E,2,C#4,61
A11,0,A3,57
A11,1,C#4,61
A11,2,E4,64
A11,3,G4,67
A11,4,B4,71
A11,5,D4,62
A13,0,A3,57
A13,1,C#4,61
A13,2,E4,64
A13,3,G4,67
A13,4,B4,71
A13,5,D4,62
A13,6,F#4,66
A13#11,0,A3,57
A13#11,1,C#4,61
A13#11,2,E4,64
A13#11,3,G4,67
A13#11,4,B4,71
A13#11,5,D#4,63
A13#11,6,F#4,66
A13#9,0,A3,57
A13#9,1,C#4,61
A13#9,2,E4,64
A13#9,3,G4,67
A13#9,4,C#4,61
A13#9,5,D4,62
A13#9,6,F#4,66
A13b9,0,A3,57
A13b9,1,C#4,61
A13b9,2,E4,64
A13b9,3,G4,67
A13b9,4,C4,60
A13b9,5,D4,62
A13b9,6,F#4,66
A13sus4,0,A3,57
A13sus4,1,D4,62
A13sus4,2,E4,64
A13sus4,3,G4,67
A13sus4,4,B4,71
A13sus4,5,D4,62
A13sus4,6,F#4,66
A6,0,A3,57
A6,1,C#4,61
A6,2,E4,64
A6,3,F#4,66
A7,0,A3,57
A7,1,C#4,61
A7,2,E4,64
A7,3,G4,67
A7#5#9,0,A3,57
A7#5#9,1,C#4,61
A7#5#9,2,F4,65
A7#5#9,3,G4,67
A7#5#9,4,C#4,61
A7alt,0,A3,57
A7alt,1,C#4,61
A7alt,2,Eb4,63
A7alt,3,G4,67
A7alt,4,Bb4,70
A7alt,5,Db4,61
A7sus2,0,A3,57
A7sus2,1,B3,59
A7sus2,2,E4,64
A7sus2,3,G4,67
A7sus4,0,A3,57
A7sus4,1,D4,62
A7sus4,2,E4,64
A7sus4,3,G4,67
A9,0,A3,57
A9,1,C#4,61
A9,2,E4,64
A9,3,G4,67
A9,4,B4,71
A9#5,0,A3,57
A9#5,1,C#4,61
A9#5,2,F4,65
A9#5,3,G4,67
A9#5,4,B4,71
A9b5,0,A3,57
A9b5,1,C#4,61
A9b5,2,Eb4,63
A9b5,3,G4,67
A9b5,4,B4,71
Aaug,0,A3,57
Aaug,1,C#4,61
Aaug,2,F4,65
Aaug7,0,A3,57
Aaug7,1,C#4,61
Aaug7,2,F4,65
Aaug7,3,G4,67
Ab,0,Ab3,56
Ab,1,C4,60
Ab,2,Eb4,63
Ab/C,0,C3,48
Ab/C,1,Eb3,51
Ab/C,2,Ab3,56
Ab/Eb,0,Eb3,51
Ab/Eb,1,Ab3,56
Ab/Eb,2,C4,60
Ab11,0,Ab3,56
Ab11,1,C4,60
Ab11,2,Eb4,63
Ab11,3,Gb4,66
Ab11,4,Bb4,70
Ab11,5,Db5,73
Ab13,0,Ab3,56
Ab13,1,C4,60
Ab13,2,Eb4,63
Ab13,3,Gb4,66
Ab13,4,Bb4,70
Ab13,5,Db5,73
Ab13,6,F5,77
Ab13#11,0,Ab3,56
Ab13#11,1,C4,60
Ab13#11,2,Eb4,63
Ab13#11,3,Gb4,66
Ab13#11,4,Bb4,70
Ab13#11,5,D5,74
Ab13#11,6,F5,77
Ab13#9,0,Ab3,56
Ab13#9,1,C4,60
Ab13#9,2,Eb4,63
Ab13#9,3,Gb4,66
Ab13#9,4,B4,71
Ab13#9,5,Db5,73
Ab13#9,6,F5,77
Ab13b9,0,Ab3,56
Ab13b9,1,C4,60
Ab13b9,2,Eb4,63
